Name #1,Name #2,Event,Location,Stadt,Type,Year,Channel,Uploaded,URL,Views,ID,hidden
Kid Soldier,Krom,splash! 25,Splash,Ferropolis,On Beat,2023,DLTLLY,2023-11-07,https://www.youtube.com/watch?v=BDxFLIkPoGM,21857,BDxFLIkPoGM,splash! 25
Lyrico,Tobi High,splash! 25,Splash,Ferropolis,On Beat,2023,DLTLLY,2023-11-07,https://www.youtube.com/watch?v=tR63ErqqK-E,42611,tR63ErqqK-E,splash! 25
Joseph Steinschleuder,Steel,,,,On Beat,2023,DLTLLY,2023-11-07,https://www.youtube.com/watch?v=o-gu-0j52H4,38576,o-gu-0j52H4,Düsseldorf
Pablo,Mordrake,splash! 25,Splash,Ferropolis,On Beat,2023,DLTLLY,2023-11-07,https://www.youtube.com/watch?v=eTL6zktMYR4,13448,eTL6zktMYR4,splash! 25
Tokz,Tisos,,,,On Beat,2023,DLTLLY,2023-11-07,https://www.youtube.com/watch?v=Nx1dG5NYYSM,11647,Nx1dG5NYYSM,Match
Krom,Craze,splash! 25,Splash,Ferropolis,On Beat,2023,DLTLLY,2023-11-07,https://www.youtube.com/watch?v=OFxzZdybSN8,37694,OFxzZdybSN8,Splash! Festival
Cris Kotzen & Escape,Vyrus & Freezy,splash! 25,Splash,Ferropolis,On Beat,2023,DLTLLY,2023-11-07,https://www.youtube.com/watch?v=o63uOeCfr44,39786,o63uOeCfr44,2on2   splash! 25
Mavgic,Notyzze,splash! 23,Splash,Ferropolis,On Beat,2023,DLTLLY,2023-11-07,https://www.youtube.com/watch?v=zfz6RCjGq9Q,65606,zfz6RCjGq9Q,Splash! Festival
Phasenkind,Vyrus,,,,On Beat,2023,DLTLLY,2023-11-07,https://www.youtube.com/watch?v=9bTN83Isy_g,58520,9bTN83Isy_g,Battle
Ssynic,Craze,,,,Accapella,2023,DLTLLY,2023-11-06,https://www.youtube.com/watch?v=FwsahytRilk,134775,FwsahytRilk,B-Day #10
SUZIE SUH,MALIK,,,,Accapella,2023,FOB,2023-11-05,https://www.youtube.com/watch?v=XdxsQ5ZkBl0,5605,XdxsQ5ZkBl0,ACAPELLA BATTLE
Yarambo,JollyJay,,,,Accapella,2023,DLTLLY,2023-10-29,https://www.youtube.com/watch?v=u6NT4ynzzXY,82735,u6NT4ynzzXY,B-Day #10
SIC68,LEOQUENT,,,,Accapella,2023,FOB,2023-10-29,https://www.youtube.com/watch?v=Aagl3mzXYHE,2493,Aagl3mzXYHE,ACAPELLA BATTLE
TEACH,SHORTWORTH,,,,Accapella,2023,FOB,2023-10-27,https://www.youtube.com/watch?v=v3gjheBRFdw,5313,v3gjheBRFdw,ACAPELLA BATTLE
Kato,Bong Teggy,,,,Accapella,2023,DLTLLY,2023-10-25,https://www.youtube.com/watch?v=9-PHpWXpad8,67102,9-PHpWXpad8,B-Day #10
M.F.L.,CLOCKWORK,,,,Accapella,2023,FOB,2023-10-21,https://www.youtube.com/watch?v=GrwKC49yyCQ,3184,GrwKC49yyCQ,ACAPELLA BATTLE
DEELAH,DADDA,,,,Accapella,2023,FOB,2023-10-20,https://www.youtube.com/watch?v=1hXJvRr5-v0,12754,1hXJvRr5-v0,ACAPELLA BATTLE
Karanova,Mc Geuner,,,,Accapella,2023,DLTLLY,2023-10-15,https://www.youtube.com/watch?v=EuuQTa_BAPs,34845,EuuQTa_BAPs,B-Day #10
Jeystone,Karanova,,,,Accapella,2023,DUDL,2023-10-14,https://www.youtube.com/watch?v=RDIgvgVX2XE,15210,RDIgvgVX2XE,Battle
DIAMOND,NATALI,,,,Accapella,2023,FOB,2023-10-13,https://www.youtube.com/watch?v=p8xbu9v5EZw,23490,p8xbu9v5EZw,ACAPELLA BATTLE
Mighty P,Karma,,,,Accapella,2023,DLTLLY,2023-10-08,https://www.youtube.com/watch?v=9h9mrGmjNkE,23786,9h9mrGmjNkE,B-Day #10
Flashus Christus,Béla Garbage,,,,Accapella,2023,DUDL,2023-10-07,https://www.youtube.com/watch?v=ZYJzYXtGpjk,5534,ZYJzYXtGpjk,Battle
ShadyX,David Ardor,,,,Accapella,2023,DUDL,2023-09-30,https://www.youtube.com/watch?v=yyTA-Qjyo8k,3918,yyTA-Qjyo8k,Battle
FAIVEL,MAZZIKANER,,,,Accapella,2023,FOB,2023-09-24,https://www.youtube.com/watch?v=jjoHn6PxuHo,4148,jjoHn6PxuHo,ACAPELLA BATTLE
DEZ,MC Rabiat,,,,Accapella,2023,DUDL,2023-09-23,https://www.youtube.com/watch?v=7OxvBQs2I9U,5381,7OxvBQs2I9U,Battle
JOSEPH STEINSCHLEUDER,ALADIN,,,,On Beat,2023,FOB,2023-09-21,https://www.youtube.com/watch?v=1JJayQ1V2h4,26668,1JJayQ1V2h4,ON BEAT BATTLE
Wolff,Requiem,,,München,Accapella,2023,DLTLLY,2023-09-15,https://www.youtube.com/watch?v=ET-J69Ip5-E,40108,ET-J69Ip5-E,München
Mc Geuner,Snakeheadrhyme,,,München,Accapella,2023,DLTLLY,2023-09-15,https://www.youtube.com/watch?v=i1B9-AWslJg,30274,i1B9-AWslJg,München
Tobi High,Yarambo,,,München,Accapella,2023,DLTLLY,2023-08-28,https://www.youtube.com/watch?v=DmiECBflC1Y,118142,DmiECBflC1Y,München
