Name #1,Name #2,Event,Type,Date (Year)
Paleiacci,PrettyShittyJiggy,DLTLLY RapBattle (Kassel),Rap Battle,2020
Yarambo,Robscure,DLTLLY RapBattle (DISSember4,Rap Battle,2019
Cris Kotzen,Merlin,DLTLLY RapBattle (DISSember4,Rap Battle,2019
Ano-nym,Davie Jones,DLTLLY RapBattle (DISSember4,Rap Battle,2019
"DLTLLY+D&DL ""Breakthrough"" Steel",Tollschock,Finale (DISSember4,Rap Battle,2019
Falk + Khacoby,Sizyphos + Joseph Steinschleuder,DltllyBattle (DISSember4,Rap Battle,2019
Ryko-J,T-Way,DLTLLY RapBattle (Krefeld,Rap Battle,2019
Joseph Steinschleuder,Craze,DLTLLY RapBattle (Köln),Rap Battle,2019
DeeLah,Zeuge,DLTLLY RapBattle (Krefeld,Rap Battle,2019
Kid Soldier,Khacoby,DLTLLY RapBattle (Köln),Rap Battle,2019
RenetiXX,MC Geuner,DLTLLY RapBattle (Köln),Rap Battle,2019
Cashus K. + Mac Horn,DNA + Ringelnatz,DLTLLY RapBattle (Köln),Rap Battle,2019
A-Ron,Nika,DLTLLY RapBattle (Berlin,Rap Battle,2019
SnakeHeadRhyme,Karanova,DLTLLY RapBattle (Berlin,Rap Battle,2019
Phasenkind,PrettyShittyJiggy,DLTLLY (Ludwigshafen,Rap Battle,2019
MC Maik,Fate,DLTLLY RapBattle (Frankfurt),Rap Battle,2019
"DLTLLY+D&DL ""Breakthrough"" Steel",Hiding John,Halbfinale (Frankfurt),Rap Battle,2019
Joe Pharo,Ryko-J,DLTLLY RapBattle (Frankfurt),Rap Battle,2019
Brian Damage,Merlin,DLTLLY RapBattle (B.Day#6,Rap Battle,2019
Cris Kotzen,Robscure,DLTLLY RapBattle (B.Day#6,Rap Battle,2019
Henrey,Craze,DLTLLY RapBattle (B.Day#6,Rap Battle,2019
DNA + Ringelnatz,Fesas + Krom,DLTLLY RapBattle (Berlin),Rap Battle,2019
Lucky Number,Ortcutt,DLTLLY RapBattle (Berlin),Rap Battle,2019
"DLTLLY+D&DL ""Breakthrough"" ZinZity",Mazzikaner,Runde2 (Berlin),Rap Battle,2019
Ano-nym,Aytee,DLTLLY OnBeatBattle (Splash22),On Beat,2019
"DLTLLY+D&DL ""Breakthrough"" Steel",Driss,Runde2 (Berlin),Rap Battle,2019
Mavgic,Davie Jones,DLTLLY OnBeatBattle (Splash22),On Beat,2019
SnakeHeadRhyme,Lug Serious,DLTLLY RapBattle (HIPinside Berlin),Rap Battle,2019
"DLTLLY+D&DL ""Breakthrough"" Hiding John",Phasenkind,Runde2 (Berlin),Rap Battle,2019
Cris Kotzen,Pablo,DLTLLY OnBeatBattle (Splash22),On Beat,2019
Silence,K.O. Ray,DLTLLY RapBattle (HIPinside Berlin),Rap Battle,2019
"DLTLLY+D&DL ""Breakthrough"" Tollschock",Paleiacci,Runde2 (Berlin),Rap Battle,2019
Kato,Rino Mandingo,DLTLLY OnBeatBattle (Splash22),On Beat,2019
Yarambo,Cris Kotzen,DLTLLY RapBattle (Hamburg),Rap Battle,2019
Ano-nym,Joe Pharo,DLTLLY OnBeatBattle (Hamburg),On Beat,2019
Nikiz,Fabiga,DLTLLY OnBeatBattle (Hamburg),On Beat,2019
Merlin,Khacoby,DLTLLY RapBattle (Hamburg),Rap Battle,2019
Aris,Julo,DLTLLY RapBattle (Hamburg),Rap Battle,2019
Joseph Steinschleuder,Falk,DLTLLY RapBattle (Hamburg),Rap Battle,2019
Cashus K + Mac Horn,MC Geuner + Natif,DLTLLY RapBattle (Hamburg),Rap Battle,2019
DXXDSTXCK,TableddnTimmy,DLTLLY RapBattle (Hamburg),Rap Battle,2019
RenetiXX,Shizu,DLTLLY RapBattle (Hamburg),Rap Battle,2019
JerMC,Robscure,DLTLLY RapBattle (MAYhem4,Rap Battle,2019
Sizyphos,Davie Jones,DLTLLY RapBattle (MAYhem4,Rap Battle,2019
Fate,Craze,DLTLLY RapBattle (MAYhem4,Rap Battle,2019
Yarambo + Kato,Wolff + Joe Pharo,DLTLLY RapBattle (NRWeekend3,Rap Battle,2019
Duff,Lyrico,DLTLLY RapBattle (NRWeekend3,Rap Battle,2019
N'antinein,Joseph Steinschleuder,DLTLLY RapBattle (NRWeekend3,Rap Battle,2019
Ryko-J,Highdemann,DLTLLY RapBattle (NRWeekend3,Rap Battle,2019
Indoor Stan,Kid Soldier,DLTLLY RapBattle (NRWeekend3,Rap Battle,2019
Alice,Karma,DLTLLY RapBattle (NRWeekend3,Rap Battle,2019
MC Geuner,Mave,DLTLLY RapBattle (NRWeekend3,Rap Battle,2019
Pablo,Khacoby,DLTLLY RapBattle (NRWeekend3,Rap Battle,2019
Proton,Vinci,DLTLLY RapBattle (NRWeekend3,Rap Battle,2019
T-Jey,Papa TR,DLTLLY RapBattle (NRWeekend3,Rap Battle,2019
T-Way + Burst,Cashus K + Mac Horn,DLTLLY RapBattle (NRWeekend3,Rap Battle,2019
Herr Kuchen,Tao,DLTLLY RapBattle (Wiesbaden),Rap Battle,2019
Julo,PrettyShittyJiggy,DLTLLY RapBattle (Wiesbaden),Rap Battle,2019
Nais,Ano-nym,DLTLLY OnBeatBattle (Tapefabrik),On Beat,2019
Shortworth,Craze,DLTLLY RapBattle (Wiesbaden),Rap Battle,2019
Vyrus,Pablo,DLTLLY OnBeatBattle (Tapefabrik),On Beat,2019
A-Ron,Mr. Whyte,DLTLLY RapBattle (Wiesbaden),Rap Battle,2019
Robscure,VT,DLTLLY RapBattle (Kassel),Rap Battle,2019
Aris,Fate,DLTLLY RapBattle (Kassel),Rap Battle,2019
Papi Schlauch,Joe Pharo,DLTLLY RapBattle (Kassel),Rap Battle,2019
